,Building- lat,longitude,hazards_present,wind_damage_rating,surge_damage_rating,rainwater_ingress_damage_rating,building_type,number_of_stories,understory_pct_of_building_footprint,year_built,roof_shape,mwfrs,foundation_type,wall_structure,wall_substrate,wall_cladding,roof_system,roof_substrate_type,roof_cover,status,Building-long,mindist
593,30.20547373,-85.59693899,"Rain,Wind",2,0,1.0,Single Family,2.0,0.0,2016.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.59693899,18.935678393562014
594,30.20567279,-85.68034261,Wind,2,0,,Single Family,2.0,0.0,2017.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, rafter""",Plywood/OSB,"Asphalt shingles (laminated),""Metal, standing seam""",2,-85.68034261,26.948358697791296
595,30.20580318,-85.67937166,Wind,1,0,,Single Family,2.0,0.0,2017.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",Fiber-Cement Board,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.67937166,26.85540261563013
596,30.20583795,-85.59800047,Wind,2,0,,Single Family,1.0,0.0,2016.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,,"Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.59800047,19.038937125508617
597,30.20594052,-85.67989603,Wind,1,0,,Single Family,2.0,0.0,2017.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Slab-on-grade,Wood frame,"""Wood, sheathing (continuous)""",EIFS,"""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.67989603,26.906131915731127
598,30.206007,-85.837322,Wind,3,0,,Greenhouse,1.0,,1978.0,Gable,,,"""Steel, cold form""",,,"""Steel, cold formed""",,Other,3,-85.837322,36.50312807414313
599,30.20603672,-85.59880849,"Rain,Wind",2,0,,Single Family,1.0,0.0,2013.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (unknown)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),2,-85.59880849,19.11728697082249
600,30.20610279,-85.59802428,"Rain,Wind",1,0,,Single Family,1.0,0.0,2016.0,Gable/Hip Combo,"""Roof Diaphragm, wood"",""Wall Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Vinyl Siding (standard)","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),1,-85.59802428,19.042225062920988
601,30.206185,-85.842884,Wind,3,0,,Professional,1.0,,1983.0,Gable,,,"Masonry (unknown),""Steel, moment resisting frame""",,"Brick,Stucco","""Wood, trusses""",Plywood/OSB,"Asphalt shingles (3-tab),""Metal, standing seam""",3,-85.842884,36.71869046122411
602,30.206208,-85.599875,Wind,3,0,,Single Family,1.5,0.0,2012.0,Gable/Hip Combo,"""Roof Diaphragm, wood""",Unknown,Wood frame,"""Wood, sheathing (continuous)""","Brick,Fiber-Cement Board","""Wood, trusses""",Plywood/OSB,Asphalt shingles (laminated),3,-85.599875,19.22037359792196
